iter	Passed	Remaining
0	4	4338
1	8	4272
2	12	4067
3	15	3881
4	19	3877
5	23	3811
6	26	3755
7	29	3699
8	33	3654
9	37	3667
10	40	3633
11	43	3612
12	47	3579
13	50	3555
14	53	3541
15	57	3512
16	60	3484
17	63	3456
18	66	3436
19	70	3453
20	73	3436
21	76	3422
22	80	3406
23	83	3396
24	86	3390
25	89	3367
26	92	3347
27	95	3330
28	98	3314
29	102	3324
30	106	3321
31	109	3316
32	112	3307
33	116	3310
34	119	3302
35	122	3290
36	126	3279
37	130	3297
38	134	3320
39	139	3343
40	142	3331
41	145	3318
42	149	3316
43	152	3311
44	155	3308
45	159	3300
46	162	3290
47	166	3306
48	170	3304
49	173	3296
50	176	3289
51	180	3285
52	183	3282
53	186	3273
54	189	3264
55	192	3253
56	196	3252
57	200	3255
58	203	3252
59	207	3247
60	210	3242
61	214	3241
62	217	3234
63	220	3228
64	224	3222
65	228	3229
66	232	3240
67	236	3240
68	239	3237
69	243	3234
70	247	3235
71	250	3230
72	253	3225
73	257	3219
74	261	3220
75	264	3216
76	268	3212
77	271	3207
78	275	3207
79	279	3212
80	283	3214
81	286	3210
82	294	3253
83	298	3251
84	301	3245
85	304	3238
86	308	3236
87	311	3231
88	315	3226
89	318	3221
90	322	3217
91	326	3218
92	329	3217
93	333	3214
94	336	3209
95	340	3206
96	344	3206
97	348	3203
98	351	3198
99	354	3194
100	359	3197
101	362	3195
102	366	3195
103	370	3189
104	374	3189
105	377	3186
106	381	3183
107	384	3179
108	389	3180
109	393	3185
110	397	3183
111	400	3177
112	404	3173
113	407	3170
114	411	3166
115	415	3162
116	418	3158
117	422	3158
118	426	3158
119	430	3156
120	433	3151
121	437	3151
122	441	3148
123	445	3149
124	449	3145
125	453	3145
126	457	3145
127	461	3145
128	465	3143
129	469	3143
130	473	3141
131	477	3138
132	480	3134
133	484	3131
134	489	3133
135	493	3132
136	496	3127
137	500	3124
138	504	3124
139	508	3122
140	512	3119
141	516	3118
142	520	3121
143	525	3122
144	529	3123
145	534	3124
146	538	3126
147	542	3123
148	546	3121
149	550	3121
150	554	3118
151	558	3115
152	562	3111
153	566	3114
154	571	3118
155	576	3116
156	580	3117
157	585	3121
158	590	3122
159	594	3120
160	598	3119
161	602	3117
162	606	3115
163	610	3114
164	615	3115
165	620	3115
166	624	3114
167	628	3111
168	632	3109
169	636	3107
170	640	3105
171	644	3103
172	649	3105
173	654	3104
174	658	3103
175	662	3102
176	667	3101
177	671	3102
178	676	3100
179	680	3101
180	685	3099
181	689	3098
182	693	3097
183	698	3097
184	702	3095
185	706	3093
186	711	3095
187	716	3094
188	720	3091
189	724	3090
190	729	3089
191	733	3088
192	738	3086
193	743	3090
194	748	3090
195	752	3088
196	757	3087
197	761	3085
198	765	3083
199	770	3081
200	775	3080
201	779	3080
202	784	3078
203	788	3076
204	792	3074
205	797	3072
206	801	3070
207	806	3069
208	811	3071
209	816	3069
210	820	3067
211	825	3066
212	829	3064
213	833	3062
214	838	3061
215	843	3061
216	848	3060
217	852	3058
218	857	3057
219	861	3055
220	866	3053
221	871	3053
222	876	3052
223	880	3051
224	885	3049
225	890	3048
226	894	3046
227	899	3044
228	904	3046
229	910	3049
230	915	3047
231	920	3048
232	925	3045
233	929	3044
234	935	3044
235	940	3044
236	945	3042
237	949	3041
238	954	3039
239	959	3036
240	964	3037
241	969	3036
242	974	3034
243	978	3032
244	984	3032
245	988	3030
246	993	3027
247	997	3025
248	1003	3025
249	1008	3024
250	1012	3022
251	1017	3020
252	1022	3018
253	1026	3016
254	1032	3017
255	1038	3016
256	1042	3015
257	1047	3013
258	1052	3010
