Suburb,Address,Rooms,Type,Price,Method,Seller,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Region,Propertycount,LogPrice,SaleYear,SaleMonth,PropertyAge,Price_per_sqm
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,2023-09-03,13.5,3042,3,2,1.0,303,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464,13.641158361294979,2023,9,7.0,3733.3333333333335
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,2023-09-03,3.3,3206,2,1,0.0,120,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280,14.058457520888082,2023,9,123.0,15548.780487804877
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,2023-09-03,3.3,3206,2,1,0.0,159,,,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280,14.190517145872716,2023,9,,
Alphington,6 Smith St,4,h,2000000,S,Brace,2023-09-03,6.4,3078,3,2,4.0,853,263.0,1930.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211,14.508658238524095,2023,9,93.0,7604.5627376425855
Alphington,5/6 Yarralea St,3,h,1110000,S,Jellis,2023-09-03,6.4,3078,3,2,2.0,208,,2013.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211,13.919871474189012,2023,9,10.0,
Altona,158 Queen St,3,h,520000,VB,Greg,2023-09-03,13.8,3018,3,2,1.0,352,242.0,2015.0,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301,13.161586013632684,2023,9,8.0,2379.0891089108914
Altona North,45 Hearn St,5,h,1085000,S,FN,2023-09-03,11.1,3025,5,3,6.0,592,251.0,1965.0,Hobsons Bay,-37.8388,144.8567,Western Metropolitan,5132,13.897091466615258,2023,9,58.0,4322.709163346613
Altona North,4 Knapp St,3,h,781000,S,Jas,2023-09-03,11.1,3025,3,1,2.0,533,117.0,1970.0,Hobsons Bay,-37.8291,144.835,Western Metropolitan,5132,13.568331709230735,2023,9,53.0,6675.213675213675
Armadale,8/19 Mercer Rd,2,u,599000,S,Jellis,2023-09-03,6.3,3143,2,1,1.0,0,76.0,1964.0,Stonnington,-37.8543,145.0262,Southern Metropolitan,4836,13.303018546545275,2023,9,59.0,7881.578947368421
Ascot Vale,2/43 Roxburgh St,2,u,455000,S,Nelson,2023-09-03,5.9,3032,3,1,2.0,0,,,Moonee Valley,-37.7756,144.9165,Western Metropolitan,6567,13.02805489573287,2023,9,,
Ashburton,61 Dent St,4,h,2650000,S,Marshall,2023-09-03,11.0,3147,4,3,2.0,753,399.0,2015.0,Boroondara,-37.8669,145.0767,Southern Metropolitan,3052,14.790070575320824,2023,9,8.0,6641.604010025063
Ashwood,18 Teck St,2,h,995000,S,Tim,2023-09-03,12.2,3147,2,1,1.0,583,,1950.0,Monash,-37.8693,145.1082,Southern Metropolitan,2894,13.81049902116535,2023,9,73.0,
Avondale Heights,8 Norma Ct,3,h,850000,S,Moonee,2023-09-03,10.5,3034,3,1,1.0,593,118.0,1970.0,Moonee Valley,-37.7677,144.8674,Western Metropolitan,4502,13.652992804936396,2023,9,53.0,7203.389830508475
Avondale Heights,9 Rogerson St,3,h,750000,SP,Moonee,2023-09-03,10.5,3034,3,1,1.0,0,103.0,1980.0,Moonee Valley,-37.7634,144.8611,Western Metropolitan,4502,13.527829818844937,2023,9,43.0,7281.553398058252
Balaclava,18 Linton St,4,h,1819000,S,Gary,2023-09-03,6.6,3183,3,2,1.0,244,180.0,1900.0,Port Phillip,-37.8668,144.9928,Southern Metropolitan,2952,14.41379800725272,2023,9,123.0,10105.555555555555
